Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Cyperaceae","Carex","muricata L.","","","","","","Europe","02-76s*","27/03/2006","JB.Marnay sur Seine","B3 - Alpes Calcaires","","",""
"Cyperaceae","Carex","muricata L.","","","","","","Le plus souvent d' Europe excepté la partie Nord-Est.","99-774s","","JBU.Trondheim (Norvège)","C6 - ","Lieu sec","",""
"Cyperaceae","Carex","nachiana Ohwi","","","","","","Japon","90-162s*","","JB.Ibaraki (Japon)","C6 - ","","",""
"Cyperaceae","Carex","nigra Reich.","","","","","","Le plus souvent d' Europe, mais rare dans les extrêmes Sud.","98-1709s","15/05/2001","B.Inst.Risskov(Danmark)","C6 - ","Ordinairement dans les marais ou dans une prairie humide.","",""
"Cyperaceae","Carex","ovalis Good.","","","","","","Europe du Nord, Afrique du Nord, Amérique","98-1708s","15/05/2001","B.Inst.Risskov(Danmark)","C6 - ","lieux herbeux hmides et pauvres","leporina",""
"Cyperaceae","Carex","ovalis Good.","","","","","","Europe du Nord, Afrique du Nord, Amérique","98-1219p*","07/10/1999","Iles Yeu","E3 - ","milieu humide,montagne","",""
"Cyperaceae","Carex","ovalis Good.","","","","","","Europe","01-872s*","08/03/2004","JB.Dijon (France)","C6 - ","Milieux humides","",""
"Cyperaceae","Carex","ovalis Good.","","","","","","Europe du Nord, Afrique du Nord, Amérique","00-1064s*","21/03/2003","JBU.Oulou (Finlande)","C6 - ","lieux herbeux hmides et pauvres","",""
"Cyperaceae","Carex","ovalis Good.","","","","","","Europe du Nord, Afrique du Nord, Amérique","00-443s*","21/03/2003","JBU.Bonn","C6 - ","lieux herbeux hmides et pauvres","",""
"Cyperaceae","Carex","panicea L.","","","","","","Région boréale tempérée","97-850s*","07/10/1999","JB.Regensburg (Allemagne)","B8 - Caucase","","",""
"Cyperaceae","Carex","paniculata L.","","","","","","Vers le Nord d' Europe a 63░ Nord de la Russie.","spontané","","spontané","C7 - Pyrénées siliceuses","Lande,prairie humide","",""
"Cyperaceae","Carex","pendula Huds.","","","","","","Europe.; Asie boréale","Anc.coll.","","","E3 - ","","",""
"Cyperaceae","Carex","plantaginea Lam.","","","","","","Amérique boréale","02-945s*","27/03/2006","JB.Montréal (Canada)","C4 - Am-du Nord","","",""
"Cyperaceae","Carex","pulicaris L.","","","","","","Nord, Centre et O-Europe, Sibérie","99-775s*","15/05/2001","JBU.Trondheim (Norvège)","C6 - ","Lieu humide.","",""
"Cyperaceae","Carex","remota L.","","","","","","Europe","01-870s*","27/03/2006","JB.Dijon (France)","B3 - Alpes Calcaires","","",""
"Cyperaceae","Carex","rostrata Stokes","","","","","","Europe, mais rarement au Sud-Ouest et Sud-Est.","98-159s","07/10/1999","JBU.Osnabrück (Allemagne)","C6 - ","Eau peu profonde, marécage, et marais, c'est assez difficile en calcaire.","",""
"Cyperaceae","Carex","spicata Hudson","","","","","","Europe, Asie, Nord Amérique, Australie et Nouvelle-Zélande","01-871s*","08/03/2004","JB.Dijon (France)","I1 - Nouvelle-Zélande","Marais, marécages, calcifuge","",""
"Cyperaceae","Carex","spicata Hudson","","","","","","NO-Europe, Asie","00-857s*","21/03/2003","JBU.Sienne","C6 - ","Bois, chemins","",""
"Cyperaceae","Carex","sylvatica Huds.","","","","","","Europe","02-1597s*","27/03/2006","Museum National d'Histoire de Paris","B3 - Alpes Calcaires","","",""
"Cyperaceae","Carex","Sylvatica Hudson","","","","","","Le plus souvent d' Europe, vers le Nord à 65░ Nord de Norvège.","98-1096s*","15/05/2001","JB.Genève (Suisse)","C6 - ","Bois et autre lieu ombré.","",""
"Cyperaceae","Carex","sylvatica Hudson","","","","","","Le plus souvent d' Europe, vers le Nord à 65░ Nord de Norvège.","98-152s","15/05/2001","JBU.Osnabrück (Allemagne)","F2 - ","Bois et autre lieu ombré.","",""
"Cyperaceae","Carex","sylvatica Hudson","","","","","","Le plus souvent d' Europe, vers le Nord à 65░ Nord de Norvège.","98-333s*","07/10/1999","JBU.Saarbücken","C6 - ","Bois et autre lieu ombré.","",""
"Cyperaceae","Carex","vesicaria L.","","","","","","Circumboréale","00-1248s*","21/03/2003","JBU.Martin - Luther Halle (Allemagne)","C6 - ","Bords des eaux","",""
"Cyperaceae","Carex","virgata Miq.","","","","","","Java (Indonésie)","98-579s*","07/10/1999","JB.Timaru (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Cyperaceae","Carex","vulpina L.","","","","","","N-Europe.; NO-Russie","98-271s*","07/10/1999","JB.Dijon (France)","E3 - ","Milieu humide","",""
"Cyperaceae","Carex","leporina L.","","","","","","Europe tempérée","97-753s*","07/10/1999","JBU.Martin - Luther Halle (Allemagne)","C6 - ","Milieu humide","",""
"Cyperaceae","Carex","sp.","","","","","","","98-667s*","07/10/1999","JB.Mount holyoke","C6 - ","","",""
"Asteraceae","Carlina","acaulis L.","acaulis","","","","","Europe","10.485s","29/03/2011","J.B. Marie Curie, Lublin (Pologne)","B3 - Alpes Calcaires","","",""
"Asteraceae","Carlina","onopordifolia Besser","","","","","","Pologne","10.486s","29/03/2011","J.B. Marie Curie, Lublin (Pologne)","C8 - Carpates-Balkans","","",""
"Apiaceae","Carum","carvi  L.","","","","","","Europ.; Oriens; As.bor","06-937s","28/03/2008","JB.Voronozh (Russie)","C3 - Péninsule Ibérique","","",""
"Apiaceae","Carum","carvi L.","","","","","","France, Europe, Caucase","10.434s*","29/03/2011","J.B. Padova (Italie)","C3 - Péninsule Ibérique","","",""
"Asteraceae","Catananche","caerulea L.","","","","","","Reg. Mediterr. occ","05-1005s","27/03/2006","Tatton Park Knutsford (Angleterre)","C3 - Péninsule Ibérique","","",""
"Asteraceae","Centaurea","alba L.","tenoreana Dost.","","","","","Appenins","08-580s","02/03/2009","JB.Munich (Allemagne)","E2 - Apennins","Rochers calcaires","",""
"Asteraceae","Centaurea","aristata  Benth.etHook.F.","","","","","","(cappadoc)","07-725s","28/03/2008","JB.Porto (Portugal)","B9 - Balkans","","",""
"Asteraceae","Centaurea","maculosa Lam","","","","","","Fr. Espagne; Italie","06-1226s*","28/03/2008"," JB.Brooklin (USA)","C3 - Péninsule Ibérique","","",""
"Asteraceae","Centaurea","montana L.","","","","","","Europe.; Carpathe et Pyrénnées.; C-Italie et C-Yugoslavie","97-146s*","12/07/1999","JB.Dijon (France)","B3 - Alpes Calcaires","","",""
"Asteraceae","Centaurea","montana L.","","","","","","Europe.; Carpathe et Pyrénnées.; C-Italie et C-Yugoslavie","Anc.coll.","","","B3 - Alpes Calcaires","","",""
"Asteraceae","Centaurea","pseudo-phrygia C.A.Mey.","","","","","","Alpes","01-880s*","27/03/2006","JB.Klagenfürt (Autriche)","B3 - Alpes Calcaires","","",""
"Asteraceae","Centaurea","rupestris L.","ceratophylla","","","","","Italie","03-1283s*","27/03/2006","Giardino Botanico ""Michele Tenore"", Lama dei Peligni","E2 - Apennins","","",""
"Asteraceae","Centaurea","stenolepis Kern.","","","","","","Europe centrale,W. Ukraine","10-129s*","29/03/2011","J.B. Göteborg (Suède)","C8 - Carpates-Balkans","","",""
"Asteraceae","Centaurea","tenoreana WillK.","","","","","","Pyrénées","06-1387s*","28/03/2008","JB.Michèle Tenore (Italie)","B4 - Pyrénées calcaires","","",""
"Asteraceae","Centaurea","thracica Hayek","","","","","","Balkans","03-1253s*","27/03/2006","JB.de l'Académie des Sciences de Sofia","C8 - Carpates-Balkans","","",""
"Asteraceae","Centaurea","triumfetti All.","semidecurens","","","","","S.et C.Europe","07-1725s","02/03/2009","JB.Lublin (Pologne)","C8 - Carpates-Balkans","","",""
"Asteraceae","Centaurea","uniflora Turra.","","","","","","Carpathe","06-507s","06/11/2006","JB.Chanonsia (Italie)","C8 - Carpates-Balkans","","",""
"Asteraceae","Centaurea","pseudophrygia Meyer","","","","","","Europe de l'Est","03-878s*","27/03/2006","JBU.& Alp.Innsbrück (Autriche)","C8 - Carpates-Balkans","","",""
"Dipsacaceae","Cephalaria","uralensis Roem.","","","","","","S.E.Europ. Russie","08-1009s*","02/03/2009","JB.Cluj-Napoca (Roumanie)","E1 - Himalya","","",""
"Caryophyllaceae","Cerastium","arvense L."," suffruticosum Cesati","","","","","Appennin","05-2862s*","06/11/2006","JB.d'Aquila (Italie)","B4 - Pyrénées Calcaires","","",""
"Caryophyllaceae","Cerastium","boissieri Gren.","","","","","","S. & E. Espagne, Corse, Sardaigne (W. médit.)","01-305s*","21/03/2003","JBU.Utrecht (Hollande)","C3 - Péninsule Ibérique","rocailles, pelouses","",""
"Plumbaginaceae","Ceratostigma","plumbaginioides Bunge","","","","","","Chine","Anc.coll.","","","D1 - Chine, Japon","","",""
"Solanaceae","Cestrum","tomentosum L.","","","","","","Amérique australe","79-197s","","JBU.Berlin Dahlem (Allemagne)","A2 - ","","",""
"Polypodiaceae","Ceterach","officinarum DC.","","","","","","Ouest-Sud et C-Europe.; N-Scotland et S-Suède","76-1005p","","inconnue","A2 - ","","",""
"Asteraceae","Chrysanthemum","nipponicum Franch.","","","","","","Japon","94-4971s","12/05/1998","JB.Hiroshima (Japon)","D1 - Chine, Japon","","",""
"Saxifragaceae","Chrysosplenium","alternifolium L.","","","","","","Europe.; Asie boréale.; Amérique boréale","86-3930p","","Ets.Lepage","G2 - Australie","","",""
"Asteraceae","Cicerbita","alpina Wallr.","","","","","","Montagne Sud-Europe","87-581s","","Grugapark Essen (Allemagne)","B3 - Alpes Calcaires","","",""
"Asteraceae","Cicerbita","plumieri Kirschleger","","","","","","Pyrénées","05-1847s","06/11/2006","JB.Bern (Suisse)","B3 - Alpes Calcaires","","",""
"Renonculaceae","Cimicifuga","dahurica Huth.","","","","","","Asie centrale","92-1533s","","JB.Pékin (Chine)","E1 - Himalaya","","",""
"Ranunculaceae","Cimicifuga","europaea Schipez.","","","","","","Est et C-Europe depuis République Tchéque jusqu'à la Bulgarie","00-1176s*","08/03/2004","JBU.Tartuensis (Norvége)","B9 - Caucase","","foetida L.",""
"Ranunculaceae","Cimicifuga","japonica Thunb.","","","","","","Corée","06-305s","06/11/2006","JB.Munich (Allemagne)","D1 - Chine, Japon","","",""
"Renonculaceae","Cimicifuga","racemosa Nutt.","","","","","","N-Amérique","87-1166s","","JB.W.J Beal Michigan (USA.)","C4 - Am-du Nord","","",""
"Asteraceae","Cirsium","acaule Scop.","acaule","","","","","Europe, Asie","00-655s*","21/03/2003","JBU.Zürich (Suisse)","B3 - Alpes Calcaires","Pelouses sèches, friches, coteaux (calcaires de préférence)","C. acaule",""
"Asteraceae","Cirsium","rivulare All.","","","","","","SO-Europe","05-2293s","06/11/2006","JB.Lublin (Pologne)","B4 - Pyrénées Calcaires","","",""
"Asteraceae","Cirsium","pannonicum Link.","","","","","","E, Centre et S.E Europe","10.487s","29/03/2011","J.B. Marie Curie, Lublin (Pologne)","C8 - Carpates-Balkans","","",""
"Portulacaceae","Claytonia","caroliniana Michx.","","","","","","Amérique boréale","86-1120s*","","JB.Montréal (Canada)","C4 - Am-du Nord","","",""
"Lamiaceae","Clinopodium","chinense O.Kuntze","","","","","","Japon","05-2403s","06/11/2006","","D1 - Chine, Japon","","",""
"Lamiaceae","Clinopodium","gracile Kuntze","","","mutticola","","","","07-912s","28/03/2008","JB.Yeomjii (Corée)","D3C - Japon","","",""
"Asteraceae","Cnicus","heterophyllus Roth.","","","","","","Europe","07-1813s","02/03/2009","JB.Karelia (Russie)","B3 - Alpes Calcaires","","",""
"Lamiaceae","Collinsonia","canadense L.","","","","","","Amérique du nord -Canada","05-2202s","28/03/2008","JB.Northampton (USA)","C4 - Am-du Nord","","",""
"Brassicaceae","Coluteocarpus","vesicaria Holmboe","","","","","","Irak, Iran, Turkey; Caucase","06-340s","06/11/2006","J.Alp.U.Insbruck (Autriche)","C8 - Carpates-Balkans","","",""
"Liliaceae","Convallaria","keiskei Miq.","","","","","","Japon","92-1877s","","JBU.Tohoku (Sendai)","D1 - Chine, Japon","","",""
"Liliaceae","Convallaria","majalis L.","","","","","","Boréale  Tempérée","86-3948p","","Ets.Lepage","G1 - ","","",""
"Agavaceae","Cordyline","australis Endl.","","","","","","Nouvelle Zélande","04-983s","27/03/2006","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Papaveraceae","Cordyline","australis Endl.","","","","","","","00-535s*","","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Agavaceae","Cordyline","australis Endl.","","","","","","Nouvelle Z+I91élande","03-745s","27/03/2006","JB.Timaru (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Agavaceae","Cordyline","banksii Hook. f.","","","","","","Nouvelle zélande","05-2926s","06/11/2006","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Asteraceae","Coreopsis","grandiflora Nutt.","","","","","","Amérique Boréal","88-2651s","","JBU.Cracovie","C4 - Am-du Nord","","",""
"Asteraceae","Coreopsis","palmata  Nutt.","","","","","","Am.bor","06-165s","28/03/2008","JB.Seattle (USA)","C4 - Am-du Nord","","",""
"Asteraceae","Coreopsis","tripteris L.","","","","","","Amérique Boréal","92-1102s*","","Réserve Bowman's Hill (U.S.A.)","C4 - Am-du Nord","","",""
"Asteraceae","Coreopsis","verticillata L.","","","","","","Amérique Boréal","Anc.coll.","","","C4 - Am-du Nord","","",""
"Fabaceae","Coronilla","minima  L.","","","","","","Europ.","06-1400s*","28/03/2008","JB.Siena (Italie)","B4 - Pyrénées calcaires","","",""
"Fabaceae","Coronilla","varia L.","","","","","","C. & S. Europe","00-750s*","21/03/2003","JBU.Besançon (France)","B4 - Pyrénées Calcaires","Bois, coteaux, surtout calcaires","",""
"Asteraceae","Crepis","pyrenaica (L.) Greuter","","","","","","Alpes, Pyrénées, Apennins, Carpathes","10.266s","29/03/2011","J.B. Klagenfurt (Autriche)","E2 - Apennins","","",""
"Asteraceae","Crepis","pyrenica L.","","","","","","Pyrénées","05-1850s","06/11/2006","JB.Bern (Suisse)","B4 - Pyrénées Calcaires","","",""
"Amaryllidaceae","Crinum","mauritianum Lodd.","","","","","","Madasgacar, Ile Maurice","95-3358s","","Conservatoire Botanique de Brest","A10 - ","","",""
"Amaryllidaceae","Crinum","mauritianum Lodd.","","","","","","Madasgacar, Ile Maurice","98-1970s","","Conservatoire Botanique de Brest","A10 - ","","",""
"Amaryllidaceae","Crinum","powellii Hort. x","","","","Crinium de Powell","Craint les grands froids, à protéger l' hiver avec des feuilles mortes.","?","Anc.coll.","","","B7 - Ile","","",""
"Iridaceae","Crocosmia","crocosmiiflora x  N.E. Br.","","","","","","","05-1013s","28/03/2008","JB.Knuts Ford (Angleterre)","G1 - Australie","","",""
"Iridaceae","Crocus","exiguus Schur. =vernus","","","","","","Nord-Centre-Ouest Roumanie","08-136s*","13/10/2010","JB. Klagenfurt (Australie)","C8 - Carpathes    Balkans","","",""
"Primulaceae","Cyclamen","cilicium Boss & Heldr.","","","","","","Cilicia","03-2261s*","27/03/2006","JBU.de Julius Maximilians Würzburg (All)","E2 - Apennins","","",""
"Primulaceae","Cyclamen","coum Mill.","coum","","","","","Bulgaria, Turkey, Syria, Lebanon & Israel, & found on all sides of the Black Sea, including Georgia, Crimea, & the far north of Iran","03-2259s*","27/03/2006","BG Univ. Wurzburg","C5 - Chaînes Pontiques","","",""
"Primulaceae","Cyclamen","hederaefolium Ait.","","","","","Floraison automnale, avant la pousse des feuilles qui persistent tout l'hiver.","Fr., S-Europe","Anc.coll.","","","D1 - Chine, Japon","","",""
"Ascepiadaceae","Cynanchum","acutum Linr.","","","","","","Europe australe, Asie boréale","88-2191s*","","JBU.Cracovie","C9 - Carpates-Balkans","","",""
"Boraginaceae","Cynoglossum","glochidiatum Wall.","","","","","","Centre Asie    Himalaya","08-82s*","13/10/2010","JB. Have (Danemark)","E1 - Himalaya","","",""
"Cyperaceae","Cyperus","sp.","","","","","","","98-1986p","","","E2 - Andes","","",""
"","Cyperus","strigosus L.","","","","","","Amérique boréale","02-969s*","27/03/2006","JB.Montréal (Canada)","C4 - Am-du Nord","","",""
"Polypodiaceae","Cyrtomium","flacatum Sm.","","","","","","Chine, Japon","Anc.coll.","","","G1 - ","","",""
"Polypodiaceae","Cyrtomium","fortunei Sm.","","","","","","Japon","Anc.coll.","","","D1 - Chine, Japon","","",""
"Polypodiaceae","Cyrtomium (8p)","flacatum Sm.","","","","","","Chine, Japon","anc.coll.","","","B1 - ","","",""
"Ficoidaceae","Delosperma","cooperi L.","","","","","","Afrique","98-1759s","","JB.Niagara Parks (Canada)","A2 - ","Résiste jusqu'à - 10","",""
"Renonculaceae","Delphinium","requienii DC.","","","","","","Méditerranée","Anc.coll.","","","B3 - Alpes Calcaires","","",""
"Liliaceae","Dianella","nigra Colenso.","","","","","","Nouvelle-Zélande","89-705s","","JB.Christchurch","I1 - Nouvelle-Zélande","","intermedia",""
"Liliaceae","Dianella","revoluta R. Br.","","","","","","","89-1263s*","","JB.Sydeny (Australie)","G2 - Australie","","",""
"Caryophyllaceae","Dianthus","allwoodii Hort. (x)","","","","","","?","87-538s","","Grugapark Essen (Allemagne)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Dianthus","alpinus L.","","","","","","E-Alpes","92-91s*","","J.Alp.U.Insbruck (Autriche)","B3 - Alpes Calcaires","Calcaires, roches","",""
"Caryophyllaceae","Dianthus","anatolicus Boiss.","","","","","","Turquie","08-730s","02/03/2009","JB.Leipzig (Allemagne)","C5 - Chaînes Pontiques","","",""
"Caryophllaceae","Dianthus","arenarius L.","bohemicus O. Sch warz","","","","","Balkans","98-367s*","12/07/1999","JB.Olomouc (République Tchèque)","C9 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","calocephalus Boiss.","","","","","","Asie Minor","86-1178s","","JBU.Berlin Dahlem (Allemagne)"," - ","","",""
"Caryophyllaceae","Dianthus","capitatus Balb.","","","","","","Europe, Asie","03-1244s*","27/03/2006","JB.de l'Académie des Sciences de Sofia","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","carthusianorum  L.","atrorubens  Hegi","","","","","Europe","05-1852s","28/03/2008","JB.Bern (Suisse)","B3 - Alpes calcaires","","",""
"Caryophyllaceae","Dianthus","carthusianorum L.","","","","","","Europe","06-447s","06/11/2006","JBU.Vitebsk (Bielorussie)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Dianthus","chinensis L.","","","","","","Europ., As. temp","10.123s","29/03/2011","Station de recherche env. Marijampole (Lituanie)","D3B - Chine, Japon","","",""
"Caryophyllaceae","Dianthus","collinus Waldst. et Kit.","","","","","","Europe.; Asie tempérée","96-1433s","","JBU.Gödöllö (Hongrie)","A9 - Alpes siliceuses","","",""
"Caryophyllaceae","Dianthus","cruentus Griseb.","turcicus Velen.","","","","","Bosnie à Albanie-W.Bulgarie","07-1740s","02/03/2009","JB.Sofia (Bulgarie)","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","deltoides L.","","","","","","Europe","06-445s","06/11/2006","JBU.Vitebsk (Bielorussie)","B4 - Pyrénées Calcaires","","",""
"Caryophyllaceae","Dianthus","giganteus","banaticus","","","","","","05-1938s*","","J.Alp.Belvedere Wien (Autriche)","C9 - ","","",""
"Caryophyllaceae","Dianthus","giganteus D'Urv.","","","","","","Balkans","06-1662s","28/03/2008","JB.Budapest (Hongrie)","B9 - Balkans","","",""
"Caryophyllaceae","Dianthus","giganteus Urv.","banaticus Tutin","","","","","Balkans","05-1938s","28/03/2008","JB.Vienne (Autriche)","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","gratianopolitanus Vill.","","","","","","Europe","08-1031s","02/03/2009","JB.Bremen (Allemagne)","C5 - Chaînes Pontiques","","",""
"Caryophyllaceae","Dianthus","hungaricus Pers.","","","","","","Alpes.;  NE-Hongrie","89-2894s","","JBU.et Arborétum Brno (Rép.Tchèque)","B3 - Alpes Calcaires","","plumarius",""
"Caryophyllaceae","Dianthus","imereticus Schischk.","","","","","","Georgie, Balkans","06-260s","28/03/2008","JB.Munich (Allemagne)","B6 - Caucase","","",""
"Caryophllaceae","Dianthus","lumnitzeri Wiesb.","","","","","","Alpes.;  NE-Hongrie","97-418s*","12/07/1999","J.Alp.Belvedere Wien (Autriche)","C9 - Carpates-Balkans","","plumarius",""
"Caryophyllaceae","Dianthus","myrtinervius Griseb.","","","","","","Macédoine","10.60s","29/03/2011","Université de Postdam (Allemagne)","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","pavonius Tausch","","","","","","Suisse","02-93s*","27/03/2006","JB.Alp.Lautaret (France)","B4 - Pyrénées Calcaires","","",""
"Caryophyllaceae","Dianthus","pavonius Tausch.","","","","","","Fr.  SO-Alpes.; E-Alpes Italie","93-980s","","JBU.Fribourg (Suisse)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Dianthus","petraeus Waldst & Kit.","petraeus","","","","","Balkans","06-261s","06/11/2006","JB.Munich (Allemagne)","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","petraeus Waldst & Kit.","","","","","","Balkans","06-418s","06/11/2006","JB.Zagreb (Croatie)","C8 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","plumarius L.","","","","","Cultivé, nombreux hybrides ""Mignardise""","EC-Europe depuis les Alpes Italiennes jusqu'au NE-de la Hongrie, Pologne","01-896s*","08/03/2004","JB.Museum Klagenfurt (Autriche)","B3 - Alpes Calcaires","Sol plutôt calcaire, montagne","",""
"Caryophyllaceae","Dianthus","plumarius L.","","","","","Cultivé, nombreux hybrides ""Mignardise""","EC-Europe depuis les Alpes Italiennes jusqu'au NE-de la Hongrie, Pologne","06-449s","06/11/2006","JBU.Vitebsk (Bielorussie)","B3 - Alpes Calcaires","Sol plutôt calcaire, montagne","",""
"Caryophyllaceae","Dianthus","plumarius L.","blandus Hegi","","","","","Alpes.;  NE-Hongrie","89-2403s","","JB.Arboretum der Stadt Linz (Autriche)","B3 - Alpes Calcaires","","plumarius",""
"Caryophyllaceae","Dianthus","pontederae  A.Kern.","","","","","","Europe.; As.Min","06-1663s","28/03/2008","JB.Budapest (Hongrie)","B3 - Alpes calcaires","","",""
"Caryophyllaceae","Dianthus","pontederae A.Kern.","","","","","","EC-Europe.; N-Italie et Bulgarie","97-421s*","","J.Alp.Belvedere Wien (Autriche)","E2 - Apennins","","",""
"Caryophyllaceae","Dianthus","pubescens Sibth. & Sm.","","","","","","Grèce","90-2870s","","JBU.Aegaensis (Turquie)","C9 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","seguieri Vill.","","","","","","Sud et C. Europe","08-1020s","02/03/2009","JB.Bremen (Allemagne)","C3 - Péninsule Ibérique","","",""
"Caryophyllaceae","Dianthus","serotinus Waldst. et Kit.","","","","","","E-Australie et SE-Tchecoslovaquie, E-Romanie","89-2898s","","JBU.et Arborétum Brno (Rép.Tchèque)","C9 - Carpates-Balkans","","plumarius",""
"Caryophyllaceae","Dianthus","serotinus Waldst. et Kit.","","","","","","E-Austriche et SE-Tchecoslovaquie, E-Romanie","96-1425","12/05/1998","JBU.Gödöllö (Hongrie)","C9 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","subacaulis Vill.","","","","","","Alpes","03-1201s*","27/03/2006","JB.Klagenfürt (Autriche)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Dianthus","superbus L.","","","speciosus Rchb.","","","Japon, Inagawa","01-737s*","27/03/2006","JBU.Hokkaido (Japon)","D1 - Chine, Japon","","",""
"Caryophyllaceae","Dianthus","superbus L.","","","longicalycinus","","","Eur.As.bor","06-1201s","28/03/2008","JB.Kyoto (Japon)","D3C - Japon","","",""
"Caryophyllaceae","Dianthus","sylvestris Wulf.","","","","","","Esp.-Grece-Jura-Alpes","07-1598s","02/03/2009","JB.Chemnitz (Allemagne)","B3 - Alpes Calcaires","","",""
"Caryophyllaceae","Dianthus","sylvestris Wulfen et Jacq.","sylvestris","","","","","Fr. Alpes., Balkans","05-2880s*","06/11/2006","JB.d'Aquila (Italie)","C9 - Carpates-Balkans","","",""
"Caryophyllaceae","Dianthus","uralensis Korsh.","","","","","","Russie","05-2271s","06/11/2006","JB.Novgorood (Russie)","B6 - Caucase","","",""
"Caryophyllaceae","Dianthus","zonatus Fenzl","zonatus","","","","","Grèce, Asie mineure","04-525s*","27/03/2006","JB.Izmir","C5 - Chaînes Pontiques","","",""
"Caryophyllaceae","Dianthus","superbus L.","","","","","","Europe, Excepté les extremes Ouest et Sud et l' Islands.","99-1585s*","21/03/2003","JBU.Hokkaido (Japon)","D1 - Chine, Japon","Soleil humide, Tourbe","",""
"Papaveraceae","Dicentra","spectabilis Lem.","","","","","","Japon","Anc.coll.","","","D1 - Chine, Japon","","",""
"Iridaceae","Dierama","dracomontanum Hilliard","","","","","","Afrique du Sud","10.502s","29/03/2011","J.B. Limoges (France)","I2 - Austral","","",""
"Iridaceae","Dierama","pulcherrimum Baker","","","","","","Afrique tropicale","94-2653s","","JB.Timaru (N-Zélande)","B3 - Alpes Calcaires","","",""
"Scrophulariaceae","Digitalis","ambigua Murr.= grandiflora Miller","","","","","","Europe-Siberie","08-716s","02/03/2009","JB.Clermont-Ferrand (France)","B3 - Alpes Calcaires","","",""
"Scrophulariacaeae","Digitalis","ciliata Traurt.","","","","","","Péninsule Ibérique","06-488s","06/11/2006","JB.Chemnitz (Allemagne)","C3 - Péninsule Ibérique","","",""
"Scrophulariaceae","Digitalis","ferruginea L.","","","","","","S-Europe, depuis Italie jusqu'en Hongrie et Roumanie","01-1497s","08/03/2004","JB.Michèle Tenore (Italie)","E2 - Apennins","Bois et broussailles","",""
"Scrophulariacaeae","Digitalis","ferruginea L.","schisckinii","","","","","Balkans","06-300s","06/11/2006","JB.Munich (Allemagne)","C8 - Carpates-Balkans","","",""
"Scrophulariaceae","Digitalis","grandiflora Mill.","","","","","","Europe, Sibérie","10.263s*","29/03/2011","  ","B6 - Caucase",""," =  D. ambigua",""
"Scrophulariaceae","Digitalis","lutea L.","australis Archangeli","","","","","Centre et S-Italie, Corse","01-1500s","08/03/2004","JB.""Michele Tenor"" Lama dei Peligni","E2 - Apennins","","micrantha",""
"","Digitalis","lutea L.","australis Arcangeli","","","","","Europe","03-2095s*","27/03/2006","Universita degli Studi dell'Aquila","E2 - Apennins","","micrantha Roth",""
"Scrophulariaceae","Digitalis","minor L.","","","","","","Péninsule Ibérique (Espagne)","90-1907s","","JB.Royal Zoological (Rotterdam)","C3 - Péninsule Ibérique","","",""
"Scrophulariaceae","Digitalis","obscura  L.","obscura","","","","","Espagne","05-1136s","28/03/2008","JB.Pruhonice (Rep.Tchèque)","C3 - Péninsule Ibérique","","",""
"","Digitalis","viridifolia","","","","","","","02-1770s","27/03/2006","JB.Göteborg (Suède)","C3 - Péninsule Ibérique","","",""
"Brassicaceae","Diplotaxis","tenuifolia DC.","","","","","","Eur.Rég.Méd.Asie Min.","05-2522s*","28/03/2008","JB.M.N.H.N. (Paris)","B3 - Alpes calcaires","","",""
"Asteraceae","Doellingeria","umbellata","","","umbellata","","","Amérique boréale","05-468s","28/03/2008","Hermann-Shof Weinheim (Allemagne)","C4 - Am-du Nord","","Aster umbellatus Mill.",""
"Fabaceae","Dorycnium","pentaphyllum Scop.","","","","","","Europe méridionale","05-1247s*","08/08/2008","JB.Siena (Italie)","B4 - Pyrénées Calcaires","","",""
"Fabaceae","Dorycnium","rectum Ser.","","","","","","Rég.Méd.","06-1401s*","28/03/2008","JB.Siena (Italie)","C3 - Péninsule Ibérique","","",""
