Herbacées
"FAMILLE","GENRE","ESPECE","SOUS_ESPECE","CULTIVAR","VARIETE","NOM_FR","DOCUMENTATION","REPARTITION","NO_INTRO","DATE_PLANTATION","PROVENANCE","LOC_CARRE_SERRE","ECOLOGIE","SYNO_INTRO","FAUX_INTRO"
"Rosaceae","Acaena","juvenca B.H.Macmillan","","","","","","Nouvelle Zélande","04-982s","06/11/2006","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","","",""
"Rosaceae","Acaena","magellanica  Vahl","","","","","","Rég.Magellan -Chili","06-1635s*","28/03/2008","JB.Lautaret (France)","E2 - Andes","","",""
"Rosaceae","Acaena","novae zelandiae Kick","","","","","Endémique Nouvelle-Zélande","Nouvelle-Zélande","02-450s*","08/03/2004","JB.Dunedin (N-Zélande)","I1 - Nouvelle-Zélande","Pelouse; endroits ouverts","",""
"Rosaceae","Acaena","novae-zelandiae T.Kirk.","","","","","","Nouvelle-Zélande","86-3842p","","Ets.Lepage","I1 - Nouvelle-Zélande","","",""
"Rosaceae","Acaena","poeppigiana Gay","","","","","","Chili","10.480s","29/03/2011","Université Giessen (Allemagne)","I1 - Nouvelle-Zélande","","",""
"Rosaceae","Acaena","sp. (4 pieds)","","","","","","","03-958s*","","","E2 - Andes","","",""
"Acanthaceae","Acanthus","hungaricus Baenitz","","","","","","Hongrie ?","05-923s","27/03/2006","JB.Göttingen (Allemagne)","C9 - Carpates-Balkans","","",""
"Acanthaceae","Acanthus","mollis L.","","","","","","Ouest & C-Méditerranée; Portugal","Anc.coll.","","","D2 - Chine, Japon","","",""
"Acanthaceae","Acanthus","mollis L.","","","","","","Ouest & C-Méditerranée; Portugal","Anc.coll.","","","D2 - Chine, Japon","","",""
"Asteraceae","Achillea","alpina L.","pulchra Kitam.","","","","","Asie tempérée, Japon","06-1484s","28/03/2008","JB.Ibaraki (Japon)","D1 - Japon","","",""
"Asteraceae","Achillea","filipendulina Lam.","","","","","","Georgie","06-252s*","","JB.Munich (Allemagne)","B6 - Caucase","","",""
"Asteraceae","Achillea","ligustica All.","","","","","","France, haute - Corse.","98-1418s","","JB.Meise 1860 (Belgique)","B3 - Alpes Calcaires","Soleil très sec","",""
"Asteraceae","Achillea","pannonica Scheele","","","","","","C.etS.E.Europe","07-1719s","02/03/2009","Universitée de Lublin (Pologne)","B3 - Alpes Calcaires","Dry places","",""
"Asteraceae","Achillea","pannonica Scheele","","","","","","C.etS.E.Europe","08-837s","02/03/2009","JB.Prague (Rép.Tchèque)","C7 - Pyrénées siliceuses","Dry places","",""
"Asteraceae","Achillea","ptarmica L.","pyrenaica  Heimerl","","","","","Pyrénées","03-1328s*","27/03/2006","JBU.Graz (Autriche)","C7 - Pyrénées siliceuses","","",""
"Asteraceae","Achillea","salicifolia Besser","","","","","","Region temp. Bor.","07-1575s","13/10/2010","Ac. Med. Lublin (pologne)","C4 - Amérique du Nord","","",""
"Asteraceae","Achillea","salicifolia L.","","","","","","Reg.temp.bor","06-1624s*","28/03/2008","JB.Postdam (Allemagne)","C4 - Am-du Nord","","",""
"Asteraceae","Achillea","setacea Waldst.","","","","","","S.Europe et C.Russie","07-1852s","02/03/2009","JB.Rostov ad Donum (Russie)","B9 - Carpates-Balkans","Dry places","",""
"Asteraceae","Achillea","tenorii  Grande","","","","","","Italie","06-1385s*","28/03/2008","JB.Peligni (Italie)","B3 - Alpes calcaires","","",""
"Ranunculaceae","Aconitum","barbatum Patr. ex Pers.","","","","","","","04-1002s","06/11/2006","JB.Yakut (Russie)","B9 - Caucase","","",""
"Renonculaceae","Aconitum","carmichaelii Debeaux.","","","arendsii","","","Nouvelle-Zélande","98-131s","26/04/2001","JB.Weinheim (Allemagne)","I1 - Nouvelle-Zélande","demi ombre","",""
"Ranunculaceae","Aconitum","vulparia Rchb.","","","","","","Ouest et centre d' Europe partie Anglais à l' Est d' Autriche","03-1328s*","26/04/2001","JB.Graz (Autriche)","C7 - Pyrénées siliceuses","Soleil sec","",""
"Campanulaceae","Adenophora","nikoensis  Franch.et Sav.","","","","","","Japon","06-371s","28/03/2008","JB.Göteborg (Suède)","D3C - Japon","","",""
"Campanulaceae","Adenophora","triphylla A.DC.","","","","","","Japon","04-1194s*","27/03/2006","JB.The Kyoto Hangi-cho, Shinoamo Sakyo-ku (Japon)","D1 - Chine, Japon","","",""
"","Adiantum","reniforme L.","","","","","","","84-180A","","Iles Canaries","B1 - ","","",""
"Apiaceae","Aegopodium","podagraria L.","","","","","","Europe; Asie boréale","Anc.coll.","","","G1 - ","","",""
"Brassicaceae","Aethionema","cordifolium DC.","","","","","","Asie mineure","97-1189s*","19/04/2000","J.Alp.Meyrin (Suisse)","C5 - Chaînes Pontiques","","",""
"Brassicaceae","Aethionema","thomasianum Gay.","","","","","","Europe","97-1187s*","19/04/2000","J.Alp.Meyrin (Suisse)","B3 - Alpes Calcaires","rochers; rocailles; calcaire","",""
"Liliaceae (Alliaceae)","Agapanthus","campanulatus F.M.Leight.","","","","","","Afrique du Sud","00-1021s*","27/03/2006","Humbolt Université Berlin","G2 - Australie","","",""
"Liliaceae","Agapanthus","umbellatus L'Herit.","","Albus","","","Craint les grands froids, à protèger l' hiver avec des feuilles mortes.","Obtention horticole","Anc.coll.","","","B7 - Ile","","",""
"Rosaceae","Agrimonia","gryposepala Wallr.","","","","","","","01-49s*","21/03/2003","JBU.Berkeley (USA)","C4 - Am-du Nord","","",""
"Liliaceae","Albuca","rupestris Hilliard","","","","","","Afr.du Sud","08-601s","02/03/2009","JB.Vancouver (Canada)","G1 - Australie","","",""
"Rosaceae","Alchemilla","glaucescens Wallr.","","","","","","Centre et NE-Europe, localement en Irelande, C-France, N-Italie, Bulgarie et Crimée","02-259s*","08/03/2004","J.Alp.U.Lautaret (Grenoble)","B3 - Alpes Calcaires","","","glauceum Buser"
"Rosaceae","Alchemilla","transiens Buser","","","","","","Alpes","02-95s*","27/03/2006","JBU.Regensburg (Allemagne)","A9 - Alpes siliceuses","","",""
